,bytes,packets,protocol,sourceIP,Destination IP,timestamp
150,16727.3,12,86,153.226.227.212,129.169.121.235,2020-06-23 11:07:35.467
151,13032.0,9,33,21.72.121.146,160.114.224.135,2020-06-23 11:07:38.658
152,22825.8,16,110,110.1.164.152,104.120.79.222,2020-06-23 11:07:38.683
153,15460.8,11,6,166.78.205.141,222.96.13.39,2020-06-23 11:07:39.174
154,4204.4,3,29,37.103.105.222,219.208.94.65,2020-06-23 11:07:44.153
155,25024.7,17,60,149.194.108.44,5.152.74.16,2020-06-23 11:07:50.068
156,25688.4,18,78,128.65.207.175,135.169.166.168,2020-06-23 11:07:52.498
157,13764.0,10,118,94.139.133.99,9.244.242.133,2020-06-23 11:07:52.854
158,26014.1,18,45,137.88.24.3,44.11.236.170,2020-06-23 11:07:54.926
159,25825.8,18,61,178.244.217.73,162.236.21.56,2020-06-23 11:07:55.801
160,24662.1,17,82,241.38.148.35,98.123.174.116,2020-06-23 11:08:01.040
161,17836.4,12,34,213.205.137.34,161.189.52.153,2020-06-23 11:08:03.328
162,8663.7,6,139,207.93.178.128,64.129.169.158,2020-06-23 11:08:05.575
163,2882.5,2,106,113.226.210.212,25.254.1.20,2020-06-23 11:08:09.666
164,28238.1,19,1,119.17.58.227,61.146.180.208,2020-06-23 11:08:13.258
165,28157.8,19,84,117.154.161.165,5.14.215.126,2020-06-23 11:08:17.142
166,4616.8,4,51,242.190.118.14,221.227.109.67,2020-06-23 11:08:18.973
167,19528.9,14,20,206.87.35.94,50.87.22.203,2020-06-23 11:08:23.823
168,17701.2,12,90,105.171.4.21,38.223.41.242,2020-06-23 11:08:29.200
169,10297.7,7,25,238.111.48.53,162.111.212.90,2020-06-23 11:08:30.717
170,23071.4,16,36,88.164.100.6,39.31.58.252,2020-06-23 11:08:32.846
171,20505.7,14,58,254.67.120.147,25.0.34.78,2020-06-23 11:08:35.286
172,17005.7,12,32,167.229.41.66,10.92.131.23,2020-06-23 11:08:37.018
173,12441.6,9,134,93.81.131.190,136.157.169.11,2020-06-23 11:08:37.060
174,11942.7,8,30,242.199.1.207,143.1.238.121,2020-06-23 11:08:38.370
175,17790.2,12,76,144.15.195.205,44.51.197.201,2020-06-23 11:08:48.357
176,13686.3,10,106,210.34.134.59,147.71.82.88,2020-06-23 11:08:51.372
177,20468.1,14,109,252.147.52.76,83.252.159.85,2020-06-23 11:08:53.869
178,13048.4,9,93,113.16.240.76,178.47.22.93,2020-06-23 11:08:58.783
179,20712.2,14,112,18.177.123.26,169.144.164.147,2020-06-23 11:08:59.871
180,2626.8,2,47,32.238.193.149,124.47.52.100,2020-06-23 11:09:00.748
181,11994.1,8,136,74.157.14.221,47.170.171.166,2020-06-23 11:09:05.684
182,13570.9,10,24,246.128.86.247,184.228.110.193,2020-06-23 11:09:08.238
183,4927.6,4,58,186.64.111.166,126.26.30.134,2020-06-23 11:09:10.827
184,16453.1,11,59,196.35.28.169,97.47.251.244,2020-06-23 11:09:17.869
185,18446.8,13,141,93.101.10.16,167.76.41.34,2020-06-23 11:09:21.710
186,24852.5,17,78,11.215.212.223,127.221.178.216,2020-06-23 11:09:25.344
187,26792.2,18,108,63.191.39.71,145.246.177.241,2020-06-23 11:09:29.968
188,2395.3,2,26,168.221.137.156,193.39.194.20,2020-06-23 11:09:30.556
189,10743.5,8,133,60.23.138.247,133.104.177.151,2020-06-23 11:09:31.474
190,29792.6,20,62,13.20.247.51,240.66.153.68,2020-06-23 11:09:34.300
191,28732.9,20,21,243.233.170.89,110.110.15.223,2020-06-23 11:09:34.871
192,7137.1,5,60,167.159.2.133,100.48.170.187,2020-06-23 11:09:35.187
193,16452.9,11,102,141.2.157.69,53.165.207.58,2020-06-23 11:09:38.995
194,13761.5,10,74,244.241.178.112,171.153.231.133,2020-06-23 11:09:46.351
195,24144.3,17,25,130.114.53.28,141.117.143.152,2020-06-23 11:09:47.597
196,2876.4,2,72,54.43.134.227,106.208.81.78,2020-06-23 11:09:52.338
197,27388.1,19,136,168.14.39.202,115.3.169.118,2020-06-23 11:09:54.418
198,5462.8,4,38,108.9.175.192,117.187.243.36,2020-06-23 11:09:56.088
199,6002.4,5,107,207.96.70.230,102.56.197.189,2020-06-23 11:09:58.784
200,29380.0,20,123,16.233.167.199,218.71.183.251,2020-06-23 11:10:04.035
201,13133.3,9,48,27.59.30.143,117.194.180.43,2020-06-23 11:10:04.978
202,2222.8,2,88,37.129.233.245,121.14.52.56,2020-06-23 11:10:08.975
203,13405.6,9,118,124.60.121.193,5.176.176.95,2020-06-23 11:10:09.409
204,8968.7,6,131,47.106.71.54,76.50.243.117,2020-06-23 11:10:10.875
205,28312.8,19,26,159.170.9.136,253.9.188.54,2020-06-23 11:10:12.534
206,26434.2,18,47,166.37.83.34,114.7.1.156,2020-06-23 11:10:17.590
207,26068.7,18,107,118.238.28.214,66.223.213.44,2020-06-23 11:10:23.143
208,12662.2,9,21,1.216.242.201,206.54.118.68,2020-06-23 11:10:31.251
209,6011.9,5,25,41.100.31.39,211.85.126.156,2020-06-23 11:10:32.774
210,12572.9,9,7,68.223.117.203,126.234.208.88,2020-06-23 11:10:34.908
211,16739.4,12,22,143.13.148.82,239.177.60.148,2020-06-23 11:10:37.703
212,27927.4,19,56,206.54.118.68,221.70.187.13,2020-06-23 11:10:40.562
213,29140.8,20,73,92.39.203.133,37.174.172.21,2020-06-23 11:10:50.840
214,20223.1,14,22,133.243.122.56,45.219.29.243,2020-06-23 11:10:51.654
215,25094.7,17,127,20.245.1.221,140.185.198.223,2020-06-23 11:10:51.990
216,19831.8,14,135,184.20.3.236,21.164.10.154,2020-06-23 11:10:52.381
217,9438.0,7,0,21.253.116.43,137.127.118.242,2020-06-23 11:10:53.965
218,12102.2,9,105,68.102.31.21,161.117.110.123,2020-06-23 11:10:54.806
219,9696.6,7,52,93.17.135.109,140.205.85.246,2020-06-23 11:10:58.885
220,18390.1,13,26,240.56.171.224,48.209.202.54,2020-06-23 11:11:03.322
221,7374.4,5,41,2.27.152.145,196.164.70.56,2020-06-23 11:11:04.901
222,17906.9,12,92,137.98.115.168,55.22.92.235,2020-06-23 11:11:07.530
223,4208.4,3,94,239.65.241.248,191.179.221.56,2020-06-23 11:11:16.623
224,12087.4,9,87,96.101.81.226,84.204.218.111,2020-06-23 11:11:19.037
225,21281.7,15,87,253.33.64.160,228.106.238.0,2020-06-23 11:11:24.441
226,26519.1,18,134,83.137.241.36,133.58.142.15,2020-06-23 11:11:24.799
227,22091.8,15,7,227.145.192.83,61.5.223.3,2020-06-23 11:11:25.685
228,6610.3,5,50,56.113.222.49,145.31.183.17,2020-06-23 11:11:27.890
229,2911.9,2,96,23.59.18.115,55.109.147.199,2020-06-23 11:11:29.241
230,2900.4,2,72,114.210.65.41,96.62.219.245,2020-06-23 11:11:31.587
231,17560.5,12,126,217.242.189.51,51.50.113.142,2020-06-23 11:11:31.841
232,12103.3,9,36,146.177.38.74,236.126.46.71,2020-06-23 11:11:37.533
233,14495.5,10,34,120.231.44.241,241.154.2.248,2020-06-23 11:11:39.282
234,11396.7,8,27,125.41.49.9,183.53.86.109,2020-06-23 11:11:40.751
235,29567.9,20,8,91.193.192.208,235.111.174.166,2020-06-23 11:11:44.817
236,23247.9,16,61,84.73.100.102,180.219.47.209,2020-06-23 11:11:48.081
237,19852.4,14,125,224.181.149.77,219.66.226.134,2020-06-23 11:11:48.366
238,26323.3,18,121,23.26.56.18,86.40.221.65,2020-06-23 11:11:52.793
239,8834.1,6,21,186.64.111.166,182.196.34.155,2020-06-23 11:11:59.182
240,19599.6,14,131,217.216.192.115,133.58.142.15,2020-06-23 11:12:02.030
241,7124.1,5,102,247.149.41.15,226.160.24.196,2020-06-23 11:12:05.537
242,6104.2,5,46,18.69.54.246,25.87.143.139,2020-06-23 11:12:06.324
243,29429.5,20,84,203.123.9.8,191.252.185.251,2020-06-23 11:12:15.083
244,22866.6,16,55,180.148.112.32,201.202.239.53,2020-06-23 11:12:18.996
245,22807.5,16,73,220.96.0.110,178.43.182.81,2020-06-23 11:12:19.354
246,26464.7,18,46,136.138.106.84,137.253.219.70,2020-06-23 11:12:23.757
247,9899.0,7,45,93.113.177.156,130.1.220.142,2020-06-23 11:12:24.629
248,24043.0,17,18,117.156.132.148,206.94.119.203,2020-06-23 11:12:28.495
249,18029.8,13,61,146.131.219.117,191.78.189.137,2020-06-23 11:12:30.546
250,11986.5,8,69,249.243.161.222,115.7.98.151,2020-06-23 11:12:37.554
251,4427.2,3,66,66.171.153.128,87.25.186.47,2020-06-23 11:12:37.820
252,15089.0,11,31,135.8.77.183,145.184.162.20,2020-06-23 11:12:39.003
253,17256.8,12,93,82.187.83.47,253.10.24.224,2020-06-23 11:12:40.943
254,9394.0,7,116,242.66.136.126,198.239.20.219,2020-06-23 11:12:43.428
255,27571.5,19,48,3.101.227.251,44.197.201.196,2020-06-23 11:12:44.047
256,28143.3,19,92,188.115.52.54,13.118.28.50,2020-06-23 11:12:46.617
257,13989.1,10,134,253.246.45.214,127.77.146.103,2020-06-23 11:12:46.666
258,16782.0,12,14,42.170.142.240,227.208.147.134,2020-06-23 11:12:53.579
259,27314.4,19,140,41.36.4.39,233.252.218.173,2020-06-23 11:12:57.051
260,25373.6,17,30,101.176.22.80,193.170.253.100,2020-06-23 11:13:06.289
261,9793.9,7,115,168.127.206.99,219.58.152.216,2020-06-23 11:13:10.521
262,8470.5,6,112,52.224.10.141,11.130.77.203,2020-06-23 11:13:12.660
263,21791.9,15,107,180.153.33.76,215.191.97.42,2020-06-23 11:13:14.544
264,3881.0,3,49,162.90.65.221,162.125.30.139,2020-06-23 11:13:14.817
265,4291.6,3,115,67.197.7.240,67.95.20.13,2020-06-23 11:13:15.491
266,10189.3,7,116,92.112.113.207,144.49.36.81,2020-06-23 11:13:16.163
267,29704.4,20,121,64.231.219.224,80.128.85.85,2020-06-23 11:13:16.583
268,18534.6,13,91,109.210.16.15,37.144.103.112,2020-06-23 11:13:16.991
269,3000.3,3,90,91.98.79.143,216.83.123.187,2020-06-23 11:13:17.807
270,29653.9,20,123,244.221.122.169,200.207.181.47,2020-06-23 11:13:18.864
271,5415.3,4,46,49.239.107.96,12.212.54.169,2020-06-23 11:13:21.069
272,7614.1,6,116,188.161.176.255,133.45.149.192,2020-06-23 11:13:22.825
273,12401.8,9,42,74.224.51.96,173.193.248.190,2020-06-23 11:13:26.360
274,9243.5,7,24,180.215.132.1,34.182.234.32,2020-06-23 11:13:30.521
275,15550.9,11,129,9.32.82.189,86.118.164.84,2020-06-23 11:13:33.457
276,22995.5,16,80,189.40.213.147,208.69.124.109,2020-06-23 11:13:38.829
277,15633.3,11,62,16.225.24.191,85.217.248.137,2020-06-23 11:13:48.255
278,6042.8,5,79,150.67.52.106,217.125.195.254,2020-06-23 11:13:56.193
279,21911.7,15,10,235.164.241.197,87.237.115.67,2020-06-23 11:13:59.766
280,17386.1,12,101,50.114.208.210,236.248.72.11,2020-06-23 11:14:02.103
281,2560.5,2,138,81.56.84.8,47.78.179.69,2020-06-23 11:14:05.764
282,23658.5,16,67,215.5.145.162,204.133.204.10,2020-06-23 11:14:06.286
283,2849.9,2,51,52.24.192.190,121.35.94.237,2020-06-23 11:14:08.140
284,23844.7,16,132,91.196.37.93,143.251.63.80,2020-06-23 11:14:13.647
285,2994.4,2,43,201.164.9.96,196.127.86.188,2020-06-23 11:14:17.826
286,7892.9,6,101,145.244.255.88,7.144.1.174,2020-06-23 11:14:22.683
287,7817.9,6,11,69.59.189.16,157.232.19.204,2020-06-23 11:14:23.507
288,9766.7,7,82,210.70.12.62,11.166.32.221,2020-06-23 11:14:25.455
289,14161.3,10,47,41.197.186.170,20.89.191.242,2020-06-23 11:14:26.178
290,10809.9,8,50,101.110.53.236,187.0.55.235,2020-06-23 11:14:31.547
291,20789.6,14,137,144.107.63.145,220.110.49.38,2020-06-23 11:14:32.430
292,14208.8,10,57,66.167.177.223,119.143.58.5,2020-06-23 11:14:37.309
293,28783.2,20,23,94.106.41.191,46.114.214.224,2020-06-23 11:14:37.576
294,22235.3,15,46,216.240.133.249,231.237.111.43,2020-06-23 11:14:39.628
295,29399.0,20,132,29.77.102.211,70.205.67.29,2020-06-23 11:14:41.247
296,28372.9,19,119,94.77.197.155,120.231.44.241,2020-06-23 11:14:42.309
297,19611.3,14,2,172.8.213.162,130.137.61.225,2020-06-23 11:14:43.096
298,8051.5,6,51,138.71.176.177,172.129.80.168,2020-06-23 11:14:47.676
299,21829.0,15,25,1.244.218.241,9.189.247.45,2020-06-23 11:14:55.492
300,10235.5,7,9,61.63.86.186,45.237.189.99,2020-06-23 11:15:06.178
301,15849.5,11,63,117.159.81.39,108.41.240.30,2020-06-23 11:15:06.709
302,27478.4,19,58,189.151.143.164,46.201.153.142,2020-06-23 11:15:09.417
303,24506.1,17,129,0.90.250.20,162.189.101.120,2020-06-23 11:15:22.632
304,15319.4,11,118,13.208.7.132,129.209.8.80,2020-06-23 11:15:26.161
305,6573.9,5,56,100.168.180.96,108.166.173.210,2020-06-23 11:15:28.979
306,10428.0,7,22,222.148.78.248,69.91.161.51,2020-06-23 11:15:34.716
307,22205.0,15,93,49.65.209.213,185.108.25.36,2020-06-23 11:15:34.907
308,26980.1,18,73,139.179.229.156,72.136.15.254,2020-06-23 11:15:36.918
309,13964.8,10,132,49.173.186.219,68.16.225.21,2020-06-23 11:15:37.125
310,11846.4,8,45,83.3.124.63,154.154.127.121,2020-06-23 11:15:37.170
311,9711.2,7,102,34.75.130.162,222.43.166.202,2020-06-23 11:15:42.957
312,13831.4,10,11,9.90.92.236,30.50.120.124,2020-06-23 11:15:43.115
313,14436.1,10,50,22.91.209.191,150.218.103.152,2020-06-23 11:15:43.252
314,5740.4,4,21,72.85.156.58,210.184.195.33,2020-06-23 11:15:43.327
315,19046.4,13,3,100.40.71.104,136.117.20.12,2020-06-23 11:15:44.751
316,23225.6,16,70,25.236.146.2,213.112.83.191,2020-06-23 11:15:49.219
317,27061.1,19,97,143.127.111.164,99.189.220.40,2020-06-23 11:15:52.061
318,22058.5,15,134,70.62.52.58,84.43.49.207,2020-06-23 11:15:53.698
319,6771.8,5,111,124.147.89.5,107.78.51.84,2020-06-23 11:15:56.925
320,22091.0,15,103,233.248.164.35,215.139.217.214,2020-06-23 11:16:01.267
321,19736.2,14,61,157.229.183.52,236.155.24.201,2020-06-23 11:16:03.026
322,21048.8,15,130,235.34.55.73,76.62.68.184,2020-06-23 11:16:03.077
323,25609.5,18,56,135.241.217.86,122.44.165.67,2020-06-23 11:16:04.643
324,28306.7,19,0,66.83.199.17,25.180.33.9,2020-06-23 11:16:04.959
325,22301.2,15,46,226.132.144.103,84.204.218.111,2020-06-23 11:16:06.365
326,18622.1,13,140,68.223.117.203,252.95.225.194,2020-06-23 11:16:10.892
327,9911.3,7,87,8.60.113.234,191.87.59.116,2020-06-23 11:16:18.547
328,22172.7,15,76,145.26.109.153,233.1.155.43,2020-06-23 11:16:21.712
329,24031.6,17,127,69.203.104.65,64.129.169.158,2020-06-23 11:16:22.555
330,7999.0,6,93,207.248.149.114,131.100.139.70,2020-06-23 11:16:22.987
